address,x,y,z
0,0.047393188,0.001,0.0
1,0.043269347,0.05254173,0.0
2,0.04017647,0.11014719,0.0
3,0.03605263,0.16623673,0.0
4,0.030897833,0.22232625,0.0
5,0.025743034,0.28144762,0.0
6,0.023681115,0.33905312,0.0
7,0.020588236,0.3981745,0.0
8,0.060795665,0.39969042,0.0
9,0.10409598,0.39514264,0.0
10,0.14636533,0.40120637,0.0
11,0.18657276,0.39969042,0.0
12,0.24533747,0.4027223,0.0
13,0.24843034,0.3436009,0.0
14,0.25152323,0.28296357,0.0
15,0.25358513,0.22535813,0.0
16,0.256678,0.1692686,0.0
17,0.25770897,0.113179065,0.0
18,0.26286379,0.001,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.3185356,0.52399695,0.0
22,0.359774,0.52399695,0.0
23,0.40410528,0.5255129,0.0
24,0.44843653,0.5255129,0.0
25,0.48967493,0.5118695,0.0
26,0.51751083,0.46942335,0.0
27,0.5257585,0.40878603,0.0
28,0.5236966,0.3481487,0.0
29,0.52782047,0.29054323,0.0
30,0.52782047,0.2329378,0.0
31,0.52782047,0.1783642,0.0
32,0.5288514,0.12227467,0.0
33,0.486582,0.12227467,0.0
34,0.44740555,0.12227467,0.0
35,0.40616715,0.11772686,0.0
36,0.3669907,0.1419818,0.0
37,0.3360619,0.1783642,0.0
38,0.31956655,0.23142186,0.0
39,0.3185356,0.2890273,0.0
40,0.33296904,0.3436009,0.0
41,0.36286688,0.38301516,0.0
42,0.40204334,0.40575415,0.0
43,0.4443127,0.40423822,0.0
44,0.48142725,0.3799833,0.0
45,0.6082353,0.41030198,0.0
46,0.6020495,0.35118055,0.0
47,0.6061734,0.2935751,0.0
48,0.6061734,0.23748559,0.0
49,0.6072044,0.17684825,0.0
50,0.6061734,0.013127466,0.0
51,0.6061734,0.069217,0.0
52,0.6061734,0.12227467,0.0
53,0.642257,0.14956145,0.0
54,0.67834055,0.12682246,0.0
55,0.7206099,0.12985432,0.0
56,0.76081735,0.1465296,0.0
57,0.79071516,0.18594386,0.0
58,0.8082415,0.23900151,0.0
59,0.8113343,0.29963884,0.0
60,0.8144272,0.35876024,0.0
61,0.8133963,0.41788164,0.0
62,0.0,0.0,0.0
63,0.84535605,0.12682246,0.0
64,0.8814396,0.0191912,0.0
65,0.8824706,0.067701064,0.0
66,0.9680403,0.13137026,0.0
67,0.9288638,0.1283384,0.0
68,0.8876254,0.1283384,0.0
69,0.8876254,0.18442792,0.0
70,0.8907182,0.24051745,0.0
71,0.8917492,0.29963884,0.0
72,0.90205884,0.3572443,0.0
73,0.93092567,0.40423822,0.0
74,0.97216403,0.4209135,0.0
75,0.0,0.0,0.0
76,0.82164395,0.5755387,0.0
77,0.8237059,0.63314414,0.0
78,0.8237059,0.6907496,0.0
79,0.9659783,0.6937815,0.0
80,0.9329876,0.7241001,0.0
81,0.897935,0.7544188,0.0
82,0.8618514,0.7817056,0.0
83,0.8257678,0.7483551,0.0
84,0.8288607,0.80899245,0.0
85,0.8298917,0.8726616,0.0
86,0.8298917,0.93329895,0.0
87,0.8329845,0.99696815,0.0
88,0.8628824,0.8484067,0.0
89,0.896904,0.886305,0.0
90,0.92989475,0.92420334,0.0
91,0.9659783,0.9636176,0.0
92,1.0,1.0,0.0
93,0.0,0.0,0.0
94,0.0,0.0,0.0
95,0.7680341,0.68771774,0.0
96,0.72885764,0.6907496,0.0
97,0.691743,0.71500456,0.0
98,0.65669036,0.6846859,0.0
99,0.65669036,0.74229133,0.0
100,0.65669036,0.80596054,0.0
101,0.65669036,0.863566,0.0
102,0.6597833,0.9272352,0.0
103,0.6587523,0.9939363,0.0
104,0.5927709,0.83173144,0.0
105,0.58658516,0.8908528,0.0
106,0.5618421,0.9423945,0.0
107,0.5288514,0.9818088,0.0
108,0.487613,0.99545217,0.0
109,0.44843653,0.98787254,0.0
110,0.41132197,0.9605857,0.0
111,0.38451704,0.9120759,0.0
112,0.37008357,0.85447043,0.0
113,0.3721455,0.7968649,0.0
114,0.38864085,0.7392595,0.0
115,0.41647676,0.69681334,0.0
116,0.45359135,0.6725584,0.0
117,0.49379876,0.66649467,0.0
118,0.5309133,0.6846859,0.0
119,0.56390405,0.72258425,0.0
120,0.58658516,0.77261,0.0
121,0.0,0.0,0.0
122,0.0,0.0,0.0
123,0.34224766,0.67407435,0.0
124,0.32162848,0.7241001,0.0
125,0.29791638,0.7756419,0.0
126,0.27317336,0.82415175,0.0
127,0.25049224,0.8756935,0.0
128,0.22471827,0.92420334,0.0
129,0.2010062,0.97877693,0.0
130,0.18141796,0.9272352,0.0
131,0.0,0.0,0.0
132,0.25564706,0.67407435,0.0
133,0.23605883,0.7241001,0.0
134,0.21028483,0.77261,0.0
135,0.18451084,0.82111984,0.0
136,0.16389164,0.8726616,0.0
137,0.13708669,0.92420334,0.0
138,0.112343654,0.9727132,0.0
139,0.09378638,0.9211715,0.0
140,0.07316718,0.86962974,0.0
141,0.056671824,0.818088,0.0
142,0.038114548,0.76957816,0.0
143,0.018526316,0.7165205,0.0
144,0.001,0.6695266,0.0
145,0.08760062,0.6695266,0.0
146,0.1061579,0.72106826,0.0
147,0.12265325,0.77261,0.0
148,0.14327246,0.818088,0.0
149,0.0,0.0,0.0
