address,x,y,z
0,1,240,0
1,3,240,0
2,5,240,0
3,7,240,0
4,9,240,0
5,11,240,0
6,13,240,0
7,15,240,0
8,17,240,0
9,19,240,0
10,21,240,0
11,23,240,0
12,25,240,0
13,27,240,0
14,29,240,0
15,31,240,0
16,33,240,0
17,35,240,0
18,37,240,0
19,39,240,0
20,41,240,0
21,43,240,0
22,45,240,0
23,47,240,0
24,49,240,0
25,51,240,0
26,53,240,0
27,55,240,0
28,57,240,0
29,59,240,0
30,61,240,0
31,63,240,0
32,65,240,0
33,67,240,0
34,69,240,0
35,71,240,0
36,73,240,0
37,75,240,0
38,77,240,0
39,79,240,0
40,81,240,0
41,83,240,0
42,85,240,0
43,87,240,0
44,89,240,0
45,91,240,0
46,93,240,0
47,95,240,0
48,97,240,0
49,99,240,0
50,101,240,0
51,103,240,0
52,105,240,0
53,107,240,0
54,109,240,0
55,111,240,0
56,113,240,0
57,115,240,0
58,117,240,0
59,119,240,0
60,121,240,0
61,123,240,0
62,125,240,0
63,127,240,0
64,129,240,0
65,131,240,0
66,133,240,0
67,135,240,0
68,137,240,0
69,139,240,0
70,141,240,0
71,143,240,0
72,145,240,0
73,147,240,0
74,149,240,0
75,151,240,0
76,153,240,0
77,155,240,0
78,157,240,0
79,159,240,0
80,161,240,0
81,163,240,0
82,165,240,0
83,167,240,0
84,169,240,0
85,171,240,0
86,173,240,0
87,175,240,0
88,177,240,0
89,179,240,0
90,181,240,0
91,183,240,0
92,185,240,0
93,187,240,0
94,189,240,0
95,191,240,0
96,193,240,0
97,195,240,0
98,197,240,0
99,199,240,0
100,201,240,0
101,203,240,0
102,205,240,0
103,207,240,0
104,209,240,0
105,211,240,0
106,213,240,0
107,215,240,0
108,217,240,0
109,219,240,0
110,221,240,0
111,223,240,0
112,225,240,0
113,227,240,0
114,229,240,0
115,231,240,0
116,233,240,0
117,235,240,0
118,237,240,0
119,239,240,0
120,241,240,0
121,243,240,0
122,245,240,0
123,247,240,0
124,249,240,0
125,251,240,0
126,253,240,0
127,255,240,0
128,257,240,0
129,259,240,0
130,261,240,0
131,263,240,0
132,265,240,0
133,267,240,0
134,269,240,0
135,271,240,0
136,273,240,0
137,275,240,0
138,277,240,0
139,279,240,0
140,281,240,0
141,283,240,0
142,285,240,0
143,287,240,0
144,289,240,0
145,291,240,0
146,293,240,0
147,295,240,0
148,297,240,0
149,299,240,0
